label,uri,types,vocabulary,domain,range,superproperty
AdditionalServiceType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Address,https://data.vlaanderen.be/ns/adres,http://www.w3.org/2002/07/owl#Ontology,,,,
Administration,https://data.vlaanderen.be/ns/bestuur,http://www.w3.org/2002/07/owl#Ontology,,,,
Administrative Unit,http://data.vlaanderen.be/ns/besluit#Bestuurseenheid,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Agenda Item,http://data.vlaanderen.be/ns/besluit#Agendapunt,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Agenda Item Handling,http://data.vlaanderen.be/ns/besluit#BehandelingVanAgendapunt,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Article,http://data.vlaanderen.be/ns/besluit#Artikel,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
BrandType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Building,https://data.vlaanderen.be/ns/gebouw,http://www.w3.org/2002/07/owl#Ontology,,,,
Candidate List,http://data.vlaanderen.be/ns/mandaat#Kandidatenlijst,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
ChargerType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Cooperation response,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsantwoord,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Detour,https://data.vlaanderen.be/ns/mobiliteit#Omleiding,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Digital Annotation,https://data.vlaanderen.be/ns/melding,http://www.w3.org/2002/07/owl#Ontology,,,,
Direct Election,http://data.vlaanderen.be/ns/mandaat#RechtstreekseVerkiezing,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
Election Result,http://data.vlaanderen.be/ns/mandaat#Verkiezingsresultaat,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
FeitelijkeVerenigingen,https://data.vlaanderen.be/ns/FeitelijkeVerenigingen,http://www.w3.org/2002/07/owl#Ontology,,,,
Governing Body,http://data.vlaanderen.be/ns/besluit#Bestuursorgaan,http://www.w3.org/2002/07/owl#Class|http://www.w3.org/2000/01/rdf-schema#Class,http://data.vlaanderen.be/ns/besluit,,,
HoppinpointStatus,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
HoppinpointType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
InformationColumnType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
InfrastructureElementType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Intake,https://data.vlaanderen.be/ns/mobiliteit#Inname,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Intake prohibition,https://data.vlaanderen.be/ns/mobiliteit#Innameverbod,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Legal Resource Appointment,http://data.vlaanderen.be/ns/mandaat#RechtsgrondAanstelling,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
Legal Resource Dismissal,http://data.vlaanderen.be/ns/mandaat#RechtsgrondBeeindiging,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
Mandatary,http://data.vlaanderen.be/ns/mandaat#Mandataris,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
Mandate,http://data.vlaanderen.be/ns/mandaat,http://www.w3.org/2002/07/owl#Ontology,,,,
Meeting Activity,http://data.vlaanderen.be/ns/besluit#Vergaderactiviteit,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Mobility,https://data.vlaanderen.be/ns/mobiliteit,http://www.w3.org/2002/07/owl#Ontology,,,,
Mobility Hindrance,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitshinder,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Mobility Measure,https://data.vlaanderen.be/ns/mobiliteit#Mobiliteitsmaatregel,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
MobilityServiceType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Notification,https://data.vlaanderen.be/ns/notificatie,http://www.w3.org/2002/07/owl#Ontology,,,,
Organisation,https://data.vlaanderen.be/ns/organisatie,http://www.w3.org/2002/07/owl#Ontology,,,,
ParkingFacilityFeatureType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
ParkingSpaceFeatureType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Parliamentary Group,http://data.vlaanderen.be/ns/mandaat#Fractie,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/mandaat,,,
PassengerTransportHubStatus,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
PassengerTransportHubType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Person,https://data.vlaanderen.be/ns/persoon,http://www.w3.org/2002/07/owl#Ontology,,,,
PlugType,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Public Service - Transaction,https://data.vlaanderen.be/ns/transactie,http://www.w3.org/2002/07/owl#Ontology,,,,
Resolution,http://data.vlaanderen.be/ns/besluit#Besluit,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Resolution,http://data.vlaanderen.be/ns/besluit,http://www.w3.org/2002/07/owl#Ontology,,,,
Road,https://data.vlaanderen.be/ns/weg,http://www.w3.org/2002/07/owl#Ontology,,,,
Service,https://data.vlaanderen.be/ns/dienst,http://www.w3.org/2002/07/owl#Ontology,,,,
Session,http://data.vlaanderen.be/ns/besluit#Zitting,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Spatial Conflict,https://data.vlaanderen.be/ns/mobiliteit#RuimtelijkConflict,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Synergy,https://data.vlaanderen.be/ns/mobiliteit#Synergie,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Synergy application,https://data.vlaanderen.be/ns/mobiliteit#Synergieaanvraag,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
Traffic Measure,https://data.vlaanderen.be/ns/mobiliteit#Verkeersmaatregel,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
TransportModeOnMap,http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2000/01/rdf-schema#Class,,,,
Vote,http://data.vlaanderen.be/ns/besluit#Stemming,http://www.w3.org/2002/07/owl#Class,http://data.vlaanderen.be/ns/besluit,,,
Work,https://data.vlaanderen.be/ns/mobiliteit#Werk,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/mobiliteit,,,
according to agreements,https://data.vlaanderen.be/ns/mobiliteit#Synergie.volgensAfspraken,http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Synergie,http://www.w3.org/2004/02/skos/core#Concept,
added after,http://data.vlaanderen.be/ns/besluit#aangebrachtNa,http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Agendapunt,http://data.vlaanderen.be/ns/besluit#Agendapunt,http://purl.org/dc/terms/relation
additionalService,https://purl.eu/ns/mobility/passenger-transport-hubs#additionalService,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,
administrator,https://data.vlaanderen.be/ns/mobiliteit#beheerder,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/mobiliteit,http://www.w3.org/2000/01/rdf-schema#Resource,http://purl.org/dc/terms/Agent,
agrees,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsantwoord.gaatAkkoord,http://www.w3.org/2002/07/owl#DatatypeProperty,https://data.vlaanderen.be/ns/mobiliteit,https://data.vlaanderen.be/ns/mobiliteit#Samenwerkingsantwoord,http://www.w3.org/2001/XMLSchema#boolean,
