label,uri,types,vocabulary,domain,range,superproperty
2D-Gebouwgeometrie,https://data.vlaanderen.be/ns/gebouw#2DGebouwgeometrie,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/gebouw,,,
aanbieder,https://data.vlaanderen.be/ns/incentiveringsplatform#aanbieder,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanbieder,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aanbieder,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanbieder,https://data.vlaanderen.be/ns/mobiliteit/vervoersknooppunten#aanbieder,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandeel,https://data.vlaanderen.be/ns/perceel#aandeel,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/perceel,http://www.w3.org/2000/01/rdf-schema#Resource,http://www.w3.org/2001/XMLSchema#double,
aandoening,https://data.vlaanderen.be/ns/gezondheidstoestand#Gezondheidstoestand.aandoening,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Mobiliteitsdienst.aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Overstap.aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Resource.aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Routesegment.aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijving,https://data.vlaanderen.be/ns/mobiliteit/vervoersknooppunten#ResourceReport.aandrijving,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aandrijvingstype,http://purl.org/dc/terms/type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanduiding,https://data.vlaanderen.be/ns/adres#aanduiding,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/adres,https://data.vlaanderen.be/ns/adres#Adreslocator,https://data.vlaanderen.be/ns/adres#Locatieaanduiding,
aanduiding,https://data.vlaanderen.be/ns/adres#Locatieaanduiding.aanduiding,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/adres,https://data.vlaanderen.be/ns/adres#Locatieaanduiding,http://www.w3.org/2001/XMLSchema#string,
aangeboden binnen,http://data.europa.eu/m8g/hasFormalFramework,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aangeboden binnen,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aangebodenBinnen,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aangeboden door,http://data.europa.eu/snb/model/elm/providedBy,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aangebracht na,http://data.vlaanderen.be/ns/besluit#aangebrachtNa,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,http://data.vlaanderen.be/ns/besluit,http://data.vlaanderen.be/ns/besluit#Agendapunt,http://data.vlaanderen.be/ns/besluit#Agendapunt,http://purl.org/dc/terms/relation
aangekocht door,https://data.vlaanderen.be/ns/cultuurparticipatie#Transactie.aangekochtDoor,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/cultuurparticipatie,https://data.vlaanderen.be/ns/cultuurparticipatie#Transactie,http://purl.org/dc/terms/Agent,
aangenomen door,http://data.europa.eu/eli/ontology#passed_by,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aangenomenGrondwaterstand,https://data.vlaanderen.be/ns/grondboringen#aangenomenGrondwaterstand,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomst stopplaats,https://purl.eu/ns/mobility/timetables-and-planning#ServiceJourneyLink.arrivalStop,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomstdag offset,https://purl.eu/ns/mobility/timetables-and-planning#arrivalDayOffset,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomstknoop,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aankomstknoop,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomstknoop,https://data.vlaanderen.be/ns/netwerk#eindknoop,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/netwerk,https://data.vlaanderen.be/ns/netwerk#Link,https://data.vlaanderen.be/ns/netwerk#Knoop,
aankomstpunt,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aankomstpunt,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijd,https://purl.eu/ns/mobility/timetables-and-planning#ServiceJourneyLink.arrivalTime,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijd,https://purl.eu/ns/mobility/timetables-and-planning#arrivalTime,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijd,https://schema.org/arrivalTime,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijdstip,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Route.aankomsttijdstip,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijdstip,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#Routesegment.aankomsttijdstip,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankomsttijdstip,https://schema.org/arrivalTime,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aankooplijn,https://data.vlaanderen.be/ns/lokale-economie#aankooplijn,http://www.w3.org/2000/01/rdf-schema#Property,,,,
Aanleiding,https://data.vlaanderen.be/ns/besluitvorming#Aanleiding,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/besluitvorming,,,
aanleiding,https://data.vlaanderen.be/ns/schuldbeheer#aanleiding,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Schuldvordering,http://www.w3.org/2000/01/rdf-schema#Resource,
aanleiding,https://data.vlaanderen.be/ns/omgevingsvergunning#aanleiding,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/omgevingsvergunning,https://dbpedia.org/ontology/Case,https://data.vlaanderen.be/ns/omgevingsvergunning#JuridischWerk,
aanmaakdatum,http://purl.org/dc/terms/issued,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
Aanmaning,https://data.vlaanderen.be/ns/schuldbeheer#Aanmaning,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/schuldbeheer,,,
aanmaning,https://data.vlaanderen.be/ns/schuldbeheer#aanmaning,http://www.w3.org/2000/01/rdf-schema#Property|http://www.w3.org/2002/07/owl#ObjectProperty,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Schuldvordering,https://data.vlaanderen.be/ns/schuldbeheer#Aanmaning,
aanmaningsdatum,https://data.vlaanderen.be/ns/schuldbeheer#aanmaningsdatum,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/schuldbeheer,https://data.vlaanderen.be/ns/schuldbeheer#Aanmaning,http://www.w3.org/2001/XMLSchema#date,
aanschrijfprefix,http://www.w3.org/2006/vcard/ns#honorific-prefix,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanschrijfprefix,http://ww.w3.org/2006/vcard/ns#honorific-prefix,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanschrijfvorm,http://www.w3.org/2006/vcard/ns#honorific-prefix,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aanschrijfvorm,http://ww.w3.org/2006/vcard/ns#honorific-prefix,http://www.w3.org/2000/01/rdf-schema#Property,,,,
Aansluiting,https://data.vlaanderen.be/ns/nutsvoorzieningen#Aansluiting,http://www.w3.org/2002/07/owl#Class,https://data.vlaanderen.be/ns/nutsvoorzieningen,,,
aantal,http://data.europa.eu/snb/model/elm/count,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://schema.org/repeatCount,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://schema.org/value,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,http://schema.org/repeatCount,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://data.vlaanderen.be/ns/fiets#Verkeersongeval.aantal,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://data.vlaanderen.be/ns/fiets#Verkeerstelling.aantal,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://data.vlaanderen.be/ns/lokale-economie#aantal,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://data.vlaanderen.be/ns/mobiliteit/trips-en-aanbod#aantal,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal,https://data.vlaanderen.be/ns/mobiliteitsbudget#aantal,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/mobiliteitsbudget,https://data.vlaanderen.be/ns/mobiliteitsbudget#Voorwaarde,http://www.w3.org/2001/XMLSchema#integer,
aantal,https://data.vlaanderen.be/ns/weg#aantal,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/weg,https://data.vlaanderen.be/ns/weg#AantalRijstroken,http://www.w3.org/2001/XMLSchema#integer,
aantal ankerpunten,https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#aantalAnkerpunten,http://www.w3.org/2000/01/rdf-schema#Property,,,,
aantal bovengrondse verdiepingen,https://data.vlaanderen.be/ns/gebouw#aantalBovengrondseVerdiepingen,http://www.w3.org/2002/07/owl#DatatypeProperty|http://www.w3.org/2000/01/rdf-schema#Property,https://data.vlaanderen.be/ns/gebouw,https://data.vlaanderen.be/ns/gebouw#Gebouw,http://www.w3.org/2001/XMLSchema#integer,
aantal herhalingen,https://schema.org/repeatCount,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://www.w3.org/2000/01/rdf-schema#Property,,,,
