request_method;uri;http_code;file;validation;error
header;http://data.vlaanderen.be/ns/adres;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
extension;http://data.vlaanderen.be/ns/adres;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
header;http://data.vlaanderen.be/ns/dienst;200;UTF-8 Unicode text;;0
extension;http://data.vlaanderen.be/ns/dienst;200;UTF-8 Unicode text;;0
header;http://data.vlaanderen.be/ns/organisatie;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
extension;http://data.vlaanderen.be/ns/organisatie;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
header;http://data.vlaanderen.be/ns/transactie;200;UTF-8 Unicode text, with very long lines;;0
extension;http://data.vlaanderen.be/ns/transactie;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/adres;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
extension;https://data.vlaanderen.be/ns/adres;200;UTF-8 Unicode text, with very long lines, with LF, NEL line terminators;;0
header;https://data.vlaanderen.be/ns/bedrijventerrein;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/bedrijventerrein;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/besluit;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/besluit;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/besluitvorming;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/besluitvorming;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/bestuur;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/bestuur;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/bestuurlijk-sanctieregister;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/bestuurlijk-sanctieregister;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/cultureel-erfgoed;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/cultureel-erfgoed;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/cultuur-en-jeugd/infrastructuur;200;UTF-8 Unicode text, with LF, NEL line terminators;;0
extension;https://data.vlaanderen.be/ns/cultuur-en-jeugd/infrastructuur;200;UTF-8 Unicode text, with LF, NEL line terminators;;0
header;https://data.vlaanderen.be/ns/cultuurparticipatie;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/cultuurparticipatie;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/datakwaliteit;200;ASCII text;;0
extension;https://data.vlaanderen.be/ns/datakwaliteit;200;ASCII text;;0
header;https://data.vlaanderen.be/ns/dienst;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/dienst;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/DigitaleWatermeter;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/DigitaleWatermeter;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/dossier;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/dossier;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/FeitelijkeVerenigingen;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/FeitelijkeVerenigingen;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/fiets;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/fiets;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/financiele-rapportering;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/financiele-rapportering;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/financiele-rapportering/taxonomie-dcjm;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/financiele-rapportering/taxonomie-dcjm;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/gebouw;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/gebouw;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/generiek;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/generiek;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/gezondheidstoestand;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/gezondheidstoestand;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/kindfiche;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/kindfiche;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/ldes;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/ldes;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/leercredential;200;ASCII text;;0
extension;https://data.vlaanderen.be/ns/leercredential;200;ASCII text;;0
header;https://data.vlaanderen.be/ns/logies;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/logies;200;UTF-8 Unicode text;;0
header;https://data.vlaanderen.be/ns/loongegevens;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
extension;https://data.vlaanderen.be/ns/loongegevens;404;ASCII text, with no line terminators;ERROR riot :: [line: 1, col: 5 ] Unrecognized keyword: Not;0
header;https://data.vlaanderen.be/ns/mandaat;200;UTF-8 Unicode text, with very long lines;;0
extension;https://data.vlaanderen.be/ns/mandaat;200;UTF-8 Unicode text, with very long lines;;0
header;https://data.vlaanderen.be/ns/melding;200;UTF-8 Unicode text;;0
extension;https://data.vlaanderen.be/ns/melding;200;UTF-8 Unicode text;;0
